Date,Description,Amount
30/06/2025,MONTHLY MANAGEMENT FEE,-95.00
30/06/2025,SERVICE FEE,-20.00
01/07/2025,DEBIT TRANSFER 9833 VODACOM 0463189281 B0238113,-776.53
21/07/2025,IB PAYMENT FROM INNOVITA MARKETING,800.00
31/07/2025,MONTHLY MANAGEMENT FEE,-95.00
31/07/2025,SERVICE FEE,-20.00
01/08/2025,DEBIT TRANSFER 9676 VODACOM 0465253427 B0238113,-799.37
18/08/2025,IB PAYMENT FROM INNOVITA MARKETING,800.00
30/08/2025,MONTHLY MANAGEMENT FEE,-95.00
30/08/2025,SERVICE FEE,-20.00
01/09/2025,DEBIT TRANSFER 9242 VODACOM 0467305819 B0238113,-702.90
08/09/2025,IB PAYMENT FROM INNOVITA MARKETING,500.00
25/09/2025,IB PAYMENT FROM INNOVITA MARKETING,1000.00
