Date,Description,Amount
05/07/2025,Superspar Moun,-98.91
05/07/2025,C Calzonis Pizzeria,-140.00
05/07/2025,Bwh Port Eliza,-78.00
05/07/2025,Flavours Coffe,-170.00
06/07/2025,Mrp Sport Will,-499.99
06/07/2025,Flm William Mo,-232.71
07/07/2025,C Prestons Mount Pleasant,-359.90
07/07/2025,Superspar Moun,-1361.41
07/07/2025,Superspar Moun,-400.00
08/07/2025,Banneton Baker,-300.00
08/07/2025,Fund Transfers,7000.00
09/07/2025,Yoco Barnac,-230.00
11/07/2025,Provisional Statements,-8.50
11/07/2025,Woolworths,-828.25
11/07/2025,Dischem Walmer,-697.49
11/07/2025,M Rain,-216.33
12/07/2025,C Bluvibez cafe,-77.00
13/07/2025,Superspar Moun,-153.24
13/07/2025,Woolworths,-186.96
15/07/2025,C Cafe Capellini Walmer,-175.00
15/07/2025,Pep 6271 Walme,-149.97
15/07/2025,Dischem Walmer,-190.27
16/07/2025,Dischem Walmer,-1687.31
17/07/2025,Grassroof,-210.00
18/07/2025,Superspar Moun,-719.52
18/07/2025,Pnp Clt Lorrai,-49.99
18/07/2025,Hpy Rongsheng,-193.00
18/07/2025,Kloppers,-139.00
19/07/2025,The Grocery Ex,-317.08
20/07/2025,Continental B,-80.00
20/07/2025,Cmpa Charlo Pharmacy,-48.90
20/07/2025,Woolworths,-252.94
21/07/2025,Superspar Moun,-95.20
22/07/2025,C Prestons Mount Pleasant,-339.90
22/07/2025,Superspar Moun,-1788.94
23/07/2025,Yoco Turtlefuel Cof,-80.00
23/07/2025,Flm William Moffet,-644.09
24/07/2025,Mambos Pe Moffat Inn,-299.00
25/07/2025,Rain,-649.00
25/07/2025,Kloppers,-699.00
25/07/2025,Checkers Moffet on Mal,-1581.75
26/07/2025,Continental B,-470.00
28/07/2025,Woolworths,-508.31
28/07/2025,Kloppers,-1018.00
29/07/2025,C Cafe Capellini Walmer,-156.00
30/07/2025,C Prestons Mount Pleasant,-339.90
30/07/2025,Atm Wdw Emeralds,-2000.00
30/07/2025,Sbsa Atm Withdrawal Fee,-53.00
30/07/2025,Superspar Moun,-43.98
30/07/2025,Continental B,-70.00
31/07/2025,Yoco Melt Bistro,-260.00
01/08/2025,Netflix.com,-179.00
01/08/2025,International Txn Fee,-4.48
01/08/2025,Cyclo Pro,-256.50
02/08/2025,Woolworths,-54.98
03/08/2025,Yoco Crossways Coun,-175.00
03/08/2025,Yoco 3rivers Trails,-70.00
03/08/2025,C Smw 0710 Port Elizabeth,-299.80
04/08/2025,Jacks Hq,-86.00
05/08/2025,C Mount Pleasant Pharmacy,-36.20
05/08/2025,Cash Finance Charge,-4.06
25/08/2025,Fund Transfers,5000.00
29/08/2025,Fund Transfers,5000.00
05/08/2025,Cmpa Charlo Pharmacy,-116.75
05/08/2025,Yoco Le Croissant,-140.00
05/08/2025,Engen Mount Pleasant,-39.80
05/08/2025,Dischem Walmer Park,-37.68
06/08/2025,Woolworths,-87.98
06/08/2025,Cmpa Charlo Pharmacy,-25.12
07/08/2025,Ok Grocer Kareedouw,-118.80
07/08/2025,Frozen For You,-220.00
08/08/2025,C Food Lovers Hermanus,-172.00
08/08/2025,Flm Hermanus,-134.00
09/08/2025,Skaapstertkose,-350.00
11/08/2025,C Prestons Mount Pleasant,-519.90
11/08/2025,Woolworths,-336.43
11/08/2025,Kloppers Furniture,-202.00
12/08/2025,Woolworths,-49.99
13/08/2025,Yoco Melt Bistro,-140.00
13/08/2025,Woolworths,-236.96
13/08/2025,Ian Robertson,-126.00
14/08/2025,Yoco Melt Bistro,-170.00
14/08/2025,Superspar Moun,-173.98
15/08/2025,Flm William Moffet,-331.91
15/08/2025,Decofurn Pe,-999.00
16/08/2025,Woolworths,-176.99
17/08/2025,Yoco Barnacles Tea,-365.80
18/08/2025,Woolworths,-103.98
19/08/2025,Brioche Food And Coffe,-200.00
19/08/2025,C Cafe Capellini Walmer,-80.00
19/08/2025,Thmfoodtruck,-358.00
19/08/2025,Dischem Walmer Park,-1185.32
19/08/2025,C Dr Froom v/d Merwe,-1670.40
20/08/2025,Superspar Mount Pleas,-80.03
20/08/2025,Amperecomputers,-670.00
21/08/2025,Superspar Mount Pleas,-67.98
21/08/2025,Dischem Walmer Park,-67.99
22/08/2025,PE Deep Sea Angling,-95.00
22/08/2025,Off The Hook,-500.00
23/08/2025,Woolworths,-300.43
23/08/2025,Continental B and D,-225.00
24/08/2025,Checkers Moffet on Mai,-113.16
25/08/2025,Woolworths,-49.99
