Date,Description,Amount
02/05/2025,MIGRATED DC DEBIT,-106.39
02/05/2025,MEMBERSHIP FEE 9441,-25.00
03/05/2025,CHEQUE CARD PURCHASE 9780 RAAK,-129.00
03/05/2025,CHEQUE CARD PURCHASE 9781 SHELL SUNRIDGE,-19.50
05/05/2025,BUSINESS ELECT BANK CHARGES,-76.50
06/05/2025,MAGTAPE CREDIT 9007 SA SAILING,368.00
08/05/2025,IB PAYMENT FROM ALISON,160000.00
08/05/2025,IB TRANSFER TO No 9,-30000.00
08/05/2025,IB TRANSFER TO 3670637,-110000.00
23/05/2025,IB PAYMENT FROM INNOVITA MARKETING,1000.00
23/05/2025,IB TRANSFER TO May Expenses,-1000.00
26/05/2025,IB PAYMENT FROM ALISON,10000.00
26/05/2025,INTEREST ON OVERDRAFT UP TO 05 25,-72.53
27/05/2025,MAGTAPE CREDIT 9892 NEXUS YACHTS,3500.00
27/05/2025,MAGTAPE CREDIT 9924 NEXUS YACHTS,3500.00
29/05/2025,IB TRANSFER TO CAMELOT,-15000.00
31/05/2025,IB PAYMENT TO JJ DIPPENAAR ROOF TOP TEN,-5600.00
31/05/2025,INSURANCE PREMIUM 9615,-736.93
31/05/2025,OVERDRAFT SERVICE FEE,-57.50
31/05/2025,FEE: MU PRIMARY SMS 0206,-26.55
31/05/2025,SERVICE FEE FIXED MONTHLY FEE,-460.00
02/06/2025,MIGRATED DC DEBIT,-106.39
02/06/2025,MEMBERSHIP FEE 9337,-25.00
04/06/2025,UCOUNT CREDIT TRANSFER 9083 D Stunden,891.90
04/06/2025,IB PAYMENT TO DANIEL NAUDE TRAILER,-500.00
04/06/2025,BUSINESS ELECT BANK CHARGES,-76.50
10/06/2025,IB PAYMENT FROM ALISON,4500.00
11/06/2025,CREDIT TRANSFER 9216 INVESTECPBStu Davidson,1300.00
13/06/2025,MAGTAPE CREDIT 9791 NEXUS YACHTS,4500.00
23/06/2025,IB PAYMENT FROM ALISON,10000.00
24/06/2025,IB TRANSFER TO EXPENSES,-10000.00
25/06/2025,CREDIT TRANSFER 9673 D Stunden,883.18
25/06/2025,INTEREST ON OVERDRAFT UP TO 06 01,-2.43
25/06/2025,INTEREST ON OVERDRAFT UP TO 06 05,-4.83
25/06/2025,INTEREST ON OVERDRAFT UP TO 06 24,-4.65
26/06/2025,IB TRANSFER TO Debs accom,-2500.00
27/06/2025,MAGTAPE CREDIT 9658 SA SAILING,1052.00
30/06/2025,OVERDRAFT SERVICE FEE,-57.50
30/06/2025,FEE: MU PRIMARY SMS 0107,-22.95
30/06/2025,SERVICE FEE FIXED MONTHLY FEE,-460.00
01/07/2025,MIGRATED DC DEBIT,-106.39
01/07/2025,MEMBERSHIP FEE 9128,-25.00
01/07/2025,UCOUNT INSURANCE PREMIUM 9812,-736.93
03/07/2025,BUSINESS ELECT BANK CHARGES,-76.50
05/07/2025,IB TRANSFER TO SBAG,-2000.00
12/07/2025,IB PAYMENT FROM INNOVITA MARKETING,5000.00
14/07/2025,CREDIT TRANSFER 9139 D Stunden,470.00
14/07/2025,MAGTAPE CREDIT 9880 CHRIS WEBB,750.00
18/07/2025,IB TRANSFER TO CAMELOT,-7000.00
22/07/2025,IB PAYMENT TO BUHLEBENDALO RESERV,-450.00
30/07/2025,CREDIT TRANSFER 9849 SA SAILING,256.00
31/07/2025,OVERDRAFT SERVICE FEE,-57.50
31/07/2025,FEE: MU PRIMARY SMS 0108,-22.95
31/07/2025,SERVICE FEE FIXED MONTHLY FEE,-460.00
01/08/2025,MIGRATED DC DEBIT,-106.39
01/08/2025,MEMBERSHIP FEE 9777,-25.00
01/08/2025,UCOUNT INSURANCE PREMIUM 9582,-736.93
04/08/2025,BUSINESS ELECT BANK CHARGES,-76.50
11/08/2025,PAYSHAP PAYMENT FROM Skaapstert,130.00
11/08/2025,IB PAYMENT FROM INNOVITA MARKETING,6000.00
11/08/2025,IB TRANSFER TO Phil,-5000.00
19/08/2025,MAGTAPE CREDIT 9276 NEXUS YACHTS,2500.00
20/08/2025,IB PAYMENT FROM INNOVITA MARKETING,5000.00
20/08/2025,IB TRANSFER TO EXPENSES,-5000.00
25/08/2025,CREDIT TRANSFER 9856 D Stunden,960.00
25/08/2025,INTEREST ON OVERDRAFT UP TO 08 24,-0.41
29/08/2025,IB TRANSFER TO EXPENSES,-5000.00
29/08/2025,FEE: STATEMENT > 6 MONTHS,-50.00
30/08/2025,OVERDRAFT SERVICE FEE,-57.50
30/08/2025,FEE: MU PRIMARY SMS 0109,-22.95
30/08/2025,SERVICE FEE FIXED MONTHLY FEE,-460.00
01/09/2025,CREDIT TRANSFER 9122 D Stunden,492.00
01/09/2025,MIGRATED DC DEBIT,-106.39
01/09/2025,MEMBERSHIP FEE 9419,-25.00
01/09/2025,UCOUNT INSURANCE PREMIUM 9201,-736.93
03/09/2025,BUSINESS ELECT BANK CHARGES,-76.50
04/09/2025,CREDIT TRANSFER 9745 D Stunden Best Drive,1140.01
08/09/2025,IB PAYMENT TO DANIEL NAUDE E MAIL,-200.00
08/09/2025,FEE: STATEMENT > 6 MONTHS,-100.00
09/09/2025,FEE: STATEMENT > 6 MONTHS,-30.00
11/09/2025,IB PAYMENT FROM INNOVITA MARKETING,2500.00
12/09/2025,MAGTAPE CREDIT 9623 EXPENSES LOAN,5000.00
12/09/2025,IB TRANSFER TO EXPENSES,-5000.00
12/09/2025,FEE: STATEMENT > 6 MONTHS,-40.00
23/09/2025,MAGTAPE CREDIT 9684 INNOVITA,10000.00
23/09/2025,IB PAYMENT TO A BOWES RULE 43,-30000.00
25/09/2025,REAL TIME TRANSFER FROM BOB Coen de Beer,2000.00
25/09/2025,INTEREST ON OVERDRAFT UP TO 08 31,-0.85
25/09/2025,INTEREST ON OVERDRAFT UP TO 09 24,-13.16
29/09/2025,MAGTAPE CREDIT 9952 SA SAILING,368.00
29/09/2025,IB PAYMENT TO DEBRA STUNDEN PAPER,-350.00
30/09/2025,OVERDRAFT SERVICE FEE,-57.50
30/09/2025,FEE: MU PRIMARY SMS 0110,-22.95
30/09/2025,SERVICE FEE FIXED MONTHLY FEE,-460.00
