Date,Description,Amount
02/06/2025,FNB OB Pmt Aqua Spa,2539.00
02/06/2025,Internet Pmt To Lm100,-11549.57
03/06/2025,Fuel Purchase Engen Mount Pleasan,-1056.70
04/06/2025,POS Purchase Afrihost.Com 2,-245.00
09/06/2025,Magtape Credit Capitec Denise Rejuven Rust,3511.95
09/06/2025,POS Purchase Stitch 1 Pudo,-500.00
13/06/2025,Internet Pmt To Website Innovita,-289.00
13/06/2025,Fuel Purchase Engen Mount Pleasan,-1004.50
17/06/2025,Internet Pmt To Lm100,-402.50
17/06/2025,FNB App Transfer From Closing Account,351.82
17/06/2025,Magtape Credit The Good Stuff,3028.95
19/06/2025,Payoff Dr Transfer,-99.00
20/06/2025,Card Replacement Fee #Replacement Card Fee,-135.00
24/06/2025,Internet Pmt To Trailer,-850.00
26/06/2025,Internet Pmt To Website Innovita,-149.00
27/06/2025,Internet Pmt To Lm100,-2210.14
28/06/2025,Electronic Payments Bis/Int,0.00
28/06/2025,Monthly Account Fee,-89.00
28/06/2025,Service Fees,-49.72
01/07/2025,Rtc Credit Wild Apothecary,2500.00
01/07/2025,POS Purchase Incredible Connecti,-345.00
02/07/2025,Internet Pmt To Accountant,-2235.00
02/07/2025,POS Purchase Stitch 1 Pudo,-500.00
04/07/2025,FNB App Payment From Vicky Baker,1039.00
11/07/2025,Fuel Purchase Total Charlo C,-798.47
19/07/2025,Fuel Purchase Engen Mount Pleasan,-945.20
24/07/2025,Internet Pmt To Website,-149.00
25/07/2025,Magtape Credit C Beyond Health,2449.96
28/07/2025,Electronic Payments Bis/Int,0.00
28/07/2025,Monthly Account Fee,-93.00
28/07/2025,Service Fees,-24.72
29/07/2025,Magtape Credit Simply Natural Canal Walk,4498.93
31/07/2025,POS Purchase Stitch 1 Pudo,-500.00
01/08/2025,Fuel Purchase Engen Mount Pleasan,-917.95
05/08/2025,Magtape Credit Simply Natural Canal Walk,3763.94
11/08/2025,Fuel Purchase Total Charlo C,-646.13
11/08/2025,Fuel Purchase Shell Birkenhead Mo,-695.40
11/08/2025,Fuel Purchase Engen Mossel Bay,-779.55
12/08/2025,Fuel Purchase Total Great Brak C,-723.90
13/08/2025,Internet Pmt To Web Site,-2500.00
13/08/2025,Internet Pmt To Accountant,-2500.00
13/08/2025,POS Purchase Stitch 1 Pudo,-500.00
20/08/2025,Fuel Purchase La Roche Motors,-889.77
21/08/2025,FNB OB Pmt Nude Foods,3028.95
22/08/2025,Internet Pmt To Website,-149.00
22/08/2025,POS Purchase Stm Pudo,-500.00
28/08/2025,Electronic Payments Bis/Int,0.00
28/08/2025,Monthly Account Fee,-93.00
28/08/2025,Service Fees,-48.12
01/09/2025,Payshap Credit Denise Rejuven Rust,3029.00
01/09/2025,Magtape Credit Capitec C Hlabangane,675.00
02/09/2025,Magtape Credit Simply Natural Canal Walk,3028.95
03/09/2025,POS Purchase Stitch Pudo,-500.00
03/09/2025,Fuel Purchase La Roche Motors,-885.62
04/09/2025,Magtape Credit C Beyond Health,2939.95
08/09/2025,Internet Pmt To Accountant,-2500.00
08/09/2025,Magtape Credit The Farmushy,4979.00
09/09/2025,Magtape Credit Health Matters,2939.95
12/09/2025,Internet Pmt To Phil Rademan,-5000.00
12/09/2025,POS Purchase Stm Pudo,-500.00
15/09/2025,Fuel Purchase Engen Mount Pleasan,-874.95
17/09/2025,FNB OB Pmt Aqua Spa,2539.00
17/09/2025,FNB OB Pmt Aqua Spa Inv0012,2539.00
22/09/2025,Magtape Credit Inv7022 Mr Abraham,1570.03
22/09/2025,Internet Pmt To Website,-149.00
23/09/2025,Internet Pmt To Phil Rademan,-10000.00
25/09/2025,Magtape Debit Atlas Sec,-435.00
25/09/2025,Magtape Credit 6177 Simply Natural,3029.00
27/09/2025,Fuel Purchase The Co Op,-622.04
27/09/2025,Electronic Payments Bis/Int,0.00
27/09/2025,Monthly Account Fee,-93.00
27/09/2025,Service Fees,-50.40
29/09/2025,Magtape Credit Inv-0559,320.00
30/09/2025,Internet Pmt To Sarsefiling,-215.02
